Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
06/06/2021,23,US,"500,015","312,694,106","943,146","173,896","175,120,525","370,860",Admin,"500,015","943,147","347,545","145,864,240","616,771"
06/05/2021,22,US,"1,042,231","312,194,091","925,195","357,774","174,946,629","374,622",Admin,"1,042,231","925,195","722,477","145,516,695","595,392"
06/05/2021,22,LTC,"2,371","7,852,268","1,015","1,448","4,905,957",659,Report,"2,371","1,015",0,0,0
06/05/2021,22,LTC,113,"7,866,957","1,110",15,"4,638,477",626,Admin,113,"1,111",100,"3,179,572",742
06/05/2021,22,US,"1,148,208","300,268,730","937,669","536,709","170,272,150","445,015",Report,"1,148,208","937,669","657,335","138,112,702","527,707"
06/04/2021,22,US,"1,361,341","311,151,860","882,812","503,203","174,588,855","377,970",Admin,"1,361,341","882,812","919,311","144,794,218","550,028"
06/04/2021,22,LTC,438,"7,849,897","1,032",403,"4,904,509",716,Report,438,"1,032",0,0,0
06/04/2021,22,LTC,"1,456","7,866,844","1,102",695,"4,638,462",627,Admin,"1,456","1,102",923,"3,179,472",732
06/04/2021,22,US,"1,399,594","299,120,522","1,002,963","645,179","169,735,441","478,187",Report,"1,399,594","1,002,963","810,749","137,455,367","560,403"
06/03/2021,22,LTC,909,"7,849,459","1,270",587,"4,904,106",860,Report,909,"1,270",0,0,0
06/03/2021,22,US,"1,210,747","309,790,519","872,729","463,873","174,085,652","392,332",Admin,"1,210,747","872,729","805,745","143,874,907","526,406"
06/03/2021,22,LTC,"2,324","7,865,388","1,131","1,493","4,637,767",631,Admin,"2,324","1,131","1,465","3,178,549",743
06/03/2021,22,US,"808,036","297,720,928","999,474","355,827","169,090,262","481,649",Report,"808,036","999,474","489,368","136,644,618","553,532"
06/02/2021,22,LTC,"2,054","7,863,064","1,197","1,260","4,636,274",671,Admin,"2,054","1,197","1,375","3,177,084",786
06/02/2021,22,LTC,209,"7,848,550","1,467",165,"4,903,519",981,Report,209,"1,467",0,0,0
06/02/2021,22,US,"508,652","296,912,892","1,100,084","244,706","168,734,435","522,790",Report,"508,652","1,100,084","287,825","136,155,250","615,023"
06/02/2021,22,US,"1,084,723","308,579,772","886,762","491,564","173,621,779","413,569",Admin,"1,084,723","886,762","654,615","143,069,162","520,618"
